run,variant,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
bench-0-control,control,2048,2048,67.40,512,10.13,394.734,511,10.19,0
bench-1-candidate,candidate,2048,2048,66.23,512,11.30,330.683,511,11.37,0
bench-2-candidate,candidate,2048,2048,66.39,512,11.33,362.067,511,11.40,0
bench-3-control,control,2048,2048,68.84,512,10.21,353.083,511,10.27,0
