model,concurrency,ctx,status,prefill_tps,last_ttft_s,decode_agg_tps,decode_stream_tps,decode_wall_tps,step_ms_mean,step_ms_p50,step_ms_p95,step_ms_max,mixed_step_ms_p50,mixed_step_ms_p95,mixed_decode_tps,mixed_prefill_tps,estimate_gib,predicted_gib,footprint_gib
Qwen3.8 Flash Next,1,4096,ok,1409.63,2.906,50.54,50.54,50.40,27.824,27.876,28.248,28.568,0.000,0.000,0.00,0.00,3.73,4.10,4.10
Qwen3.8 Flash Next,1,8192,ok,1399.62,5.853,50.59,50.59,50.46,28.415,27.941,32.657,32.668,0.000,0.000,0.00,0.00,7.31,8.04,8.04
Qwen3.8 Flash Next,1,16384,ok,1348.52,12.150,54.05,54.05,53.91,28.907,28.070,33.183,33.207,0.000,0.000,0.00,0.00,7.69,8.46,8.46
Qwen3.8 Flash Next,1,32768,ok,1334.15,24.561,50.41,50.41,50.28,29.136,28.125,33.081,33.340,0.000,0.000,0.00,0.00,8.46,9.31,9.31
Qwen3.8 Flash Next,1,65536,ok,1298.88,50.456,50.59,50.59,50.46,29.650,29.402,32.507,32.533,0.000,0.000,0.00,0.00,10.00,11.00,11.00
Qwen3.8 Flash Next,1,131072,ok,1273.45,102.927,51.24,51.24,51.13,30.494,29.986,33.432,33.480,0.000,0.000,0.00,0.00,13.09,14.39,14.39
Qwen3.8 Flash Next,1,262144,ok,1197.97,218.823,44.62,44.62,44.56,30.117,30.004,31.227,31.343,0.000,0.000,0.00,0.00,19.25,21.18,21.18
