ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,288.41,128,24.08,45.559,127,24.15,183560284
4096,2048,274.97,128,24.28,58.657,127,24.41,248088668
6144,2048,275.65,128,24.30,48.271,127,24.38,312617052
8192,2048,274.78,128,24.37,49.239,127,24.45,377145436
10240,2048,277.21,128,24.43,48.225,127,24.51,441673820
12288,2048,275.57,128,24.33,59.631,127,24.46,506202204
14336,2048,275.44,128,24.26,49.182,127,24.35,570730588
16384,2048,273.95,128,24.17,49.545,127,24.26,0
