ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,225.23,128,22.91,49.968,127,23.54,52184460
4096,2048,218.44,128,22.49,74.320,127,23.12,80373132
6144,2048,218.92,128,21.31,52.499,127,21.90,108561804
8192,2048,219.99,128,21.61,50.891,127,22.12,136750476
10240,2048,212.49,128,21.75,56.831,127,22.07,164939148
12288,2048,209.44,128,21.96,50.891,127,22.29,193127820
14336,2048,206.30,128,21.18,51.267,127,21.61,221316492
16384,2048,206.46,128,20.89,52.090,127,21.46,249505164
18432,2048,199.74,128,20.73,53.417,127,21.21,277693836
20480,2048,197.38,128,20.67,54.634,127,21.22,305882508
22528,2048,194.88,128,20.28,54.020,127,20.81,334071180
24576,2048,194.50,128,20.35,54.801,127,20.88,362259852
26624,2048,188.69,128,19.98,54.089,127,20.51,390448524
28672,2048,186.12,128,20.63,53.259,127,20.96,418637196
30720,2048,184.19,128,20.55,53.262,127,20.83,446825868
32768,2048,184.11,128,19.71,61.545,127,20.23,475014540
34816,2048,178.08,128,19.77,59.108,127,20.19,503203212
36864,2048,176.67,128,19.88,55.609,127,20.28,531391884
38912,2048,174.65,128,19.32,60.075,127,19.79,559580556
40960,2048,174.62,128,19.42,58.839,127,19.91,587769228
43008,2048,168.88,128,19.81,60.092,127,20.08,615957900
45056,2048,167.09,128,19.34,58.737,127,19.80,644146572
47104,2048,165.06,128,18.90,57.165,127,19.35,672335244
49152,2048,165.75,128,19.27,61.313,127,19.65,700523916
51200,2048,160.60,128,19.38,61.604,127,19.63,728712588
53248,2048,158.74,128,18.83,61.718,127,19.31,756901260
55296,2048,156.66,128,19.17,64.161,127,19.43,785089932
57344,2048,157.64,128,18.63,57.224,127,19.07,813278604
59392,2048,152.42,128,18.66,57.528,127,19.04,841467276
61440,2048,151.21,128,19.13,59.715,127,19.38,869655948
63488,2048,149.89,128,18.26,58.900,127,18.70,897844620
65536,2048,150.06,128,18.08,66.665,127,18.53,0
