model,concurrency,ctx,status,prefill_tps,last_ttft_s,decode_agg_tps,decode_stream_tps,decode_wall_tps,step_ms_mean,step_ms_p50,step_ms_p95,step_ms_max,mixed_step_ms_p50,mixed_step_ms_p95,mixed_decode_tps,mixed_prefill_tps,estimate_gib,predicted_gib,footprint_gib
Qwen3.8 Flash Next,1,4096,ok,1361.07,3.009,50.21,50.21,50.12,19.918,19.789,20.703,20.724,0.000,0.000,0.00,0.00,3.66,4.03,4.03
Qwen3.8 Flash Next,1,8192,ok,1411.76,5.803,47.78,47.78,47.67,20.930,20.850,21.851,22.662,0.000,0.000,0.00,0.00,7.30,8.03,8.03
Qwen3.8 Flash Next,1,16384,ok,1445.82,11.332,50.92,50.92,50.80,19.638,19.539,20.658,20.781,0.000,0.000,0.00,0.00,7.69,8.46,8.46
Qwen3.8 Flash Next,1,32768,ok,1428.21,22.943,49.58,49.58,49.45,20.170,19.682,23.429,23.822,0.000,0.000,0.00,0.00,8.46,9.30,9.30
Qwen3.8 Flash Next,1,65536,ok,1390.18,47.142,51.01,51.01,50.92,19.603,19.596,20.000,20.144,0.000,0.000,0.00,0.00,10.00,11.00,11.00
Qwen3.8 Flash Next,1,131072,ok,1358.15,96.508,48.39,48.39,48.31,20.665,19.972,24.084,24.144,0.000,0.000,0.00,0.00,13.08,14.39,14.39
Qwen3.8 Flash Next,1,262144,ok,1256.49,208.632,46.37,46.37,46.26,21.564,20.990,25.236,25.637,0.000,0.000,0.00,0.00,19.25,21.17,21.17
